// {lookup: {термін, ключове слово}; Case; 1-7}
// {lookup: {термін}; Case; 3} -> 3-давальний (кому? чому?)
// {lookup: {PAWN_labelShort}; Case; 3}
// {lookup: {0_labelShort}; Case; 1}
// Case:
// 1-називний (хто? що?)
// 2-родовий (кого? чого?)
// 3-давальний (кому? чому?)
// 4-знахідний (кого? що?)
// 5-орудний (ким? чим?)
// 6-місцевий (на кому? на чому?)
// 7-кличний


// Це список категорій які є у файлі (для пошуку)
// Body, FactionDef, HeadiffDef, Headiff_BodyParts, OrderedTakeGroupDef, ... , RoomRoles

// Body

голова; голови; голові; голову; головою;
верхня частина голови; верхньої частини голови; верхній частині голови; верхню частину голови; верхньою частиною голови;
череп; черепа; черепу; череп; черепом;
мозок; мозку; мозку; мозок; мозком;
око; ока; оку; око; оком;
очі; очей; очам; очі; очима;
ліве око; лівого ока; лівому оку; ліве око; лівим оком;
праве око; правого ока; правому оку; праве око; правим оком;
вухо; вуха; вуху; вухо; вухом;
ліве вухо; лівого вуха; лівому вуху; ліве вухо; лівим вухом;
праве вухо; правого вуха; правому вуху; праве вухо; правим вухом;
ніс; носа; носу; ніс; носом;
ніздрі; ніздрів; ніздрям; ніздрі; ніздрями;
рот; рота; роту; рот; ротом;
щелепи; щелеп; щелепам; щелепи; щелепами; 
зуби; зубів; зубам; зуби; зубами;
язик; язика; язику; язик; язиком; 

ліва рука; лівої руки; лівій руці; ліву руку; лівою рукою;
ліва ключиця; лівої ключиці; лівій ключиці; ліву ключицю; лівою ключицею;
ліве плече; лівого плеча; лівому плечу; ліве плече; лівим плечем;
ліва плечова кістка; лівої плечової кістки; лівій плечовій кістці; ліву плечову кістку; лівою плечовою кісткою;
ліва променева кістка; лівої променевої кістки; лівій променевій кістці; ліву променеву кістку; лівою променевою кісткою;
ліва долоня; лівої долоні; лівій долоні; ліву долоню; лівою долонею;
лівий кулак; лівого кулака; лівому кулаку; лівий кулак; лівим кулаком;
мізинець лівої руки; мізинця лівої руки; мізинцю лівої руки; мізинець лівої руки; мізинцем лівої руки;
підмізинний палець лівої руки; підмізинного пальця лівої руки; підмізинному пальцю лівої руки; підмізинний палець лівої руки; підмізинним пальцем лівої руки;
середній палець лівої руки; середнього пальця лівої руки; середньому пальцю лівої руки; середній палець лівої руки; середнім пальцем лівої руки;
вказівний палець лівої руки; вказівного пальця лівої руки; вказівному пальцю лівої руки; вказівний палець лівої руки; вказівним пальцем лівої руки;
великий палець лівої руки; великого пальця лівої руки; великому пальців лівої руки; великий палець лівої руки; великим пальцем лівої руки;
права рука; правої руки; правій руці; праву руку; правою рукою;
права ключиця; правої ключиці; правій ключиці; праву ключицю; правою ключицею;
праве плече; правого плеча; правому плечу; праве плече; правим плечем;
