// Вміст цього файлу націлений на використання в "*.rulePack.rulesStrings".

// Використання: 
//    <li>TalkTopicLight->[Animal]</li> -> <li>TalkTopicLight->{lookup: [Animal]; Rules; 1-12}}</li>
// Множина починається з 6-го індексу.
// Індекс 0 використовується для пошуку рядка. Його не потрібно використовувати.


// 0              ; 1             ; 2               ; 3               ; 4             ; 5              ; 6               ; 7              ;  8               ; 9                ; 10             ; 11              ;
// Називний однина; Родовий однина; Давальний однина; Знахідний однина; Орудний однина; Місцевий однина; Називний множина; Родовий множина; Давальний множина; Знахідний множина; Орудний множина; Місцевий множина;


// [Animals]
// 0            ; 1                ; 2                  ; 3                ; 4                ; 5                  ; 6              ; 7                ; 8                ; 9                ; 10                 ; 11               ;
муффало         ; муффало          ; муффалові          ; муффало          ; муффалом         ; муффалові          ; муффало        ; муффало          ; муффало          ; муффало          ; муффало            ; муффало          ;
бумщур          ; бумщура          ; бумщуру            ; бумщура          ; бумщуром         ; бумщурі            ; бумщури        ; бумщурів         ; бумщурам         ; бумщурів         ; бумщурами          ; бумщурах         ;
мегаскарабей    ; мегаскарабея     ; мегаскарабею       ; мегаскарабея     ; мегаскарабеєм    ; мегаскарабеї       ; мегаскарабеї   ; мегаскарабеїв    ; мегаскарабеям    ; мегаскарабеїв    ; мегаскарабеями     ; мегаскарабеях    ;
кобра           ; кобри            ; кобрі              ; кобру            ; коброю           ; кобрі              ; кобри          ; кобр             ; кобрам           ; кобр             ; кобрами            ; кобрах           ;
олень           ; оленя            ; оленю              ; оленя            ; оленем           ; олені              ; олені          ; оленів           ; оленям           ; оленів           ; оленями            ; оленях           ;
кабан           ; кабана           ; кабану             ; кабана           ; кабаном          ; кабані             ; кабани         ; кабанів          ; кабанам          ; кабанів          ; кабанами           ; кабанах          ;
білка           ; білки            ; білці              ; білку            ; білкою           ; білці              ; білки          ; білок            ; білкам           ; білок            ; білками            ; білках           ;
ігуана          ; ігуани           ; ігуані             ; ігуану           ; ігуаною          ; ігуані             ; ігуани         ; ігуан            ; ігуанам          ; ігуан            ; ігуанами           ; ігуанах          ;
аардварк        ; аардварка        ; аардварку          ; аардварка        ; аардварком       ; аардварку          ; аардварки      ; аардварків       ; аардваркам       ; аардварків       ; аардварками        ; аардварках       ;
алігатор        ; алігатора        ; алігатору          ; алігатора        ; алігатором       ; алігаторі          ; алігатори      ; алігаторів       ; алігаторам       ; алігаторів       ; алігаторами        ; алігаторах       ;
альпака         ; альпаки          ; альпаці            ; альпаку          ; альпакою         ; альпаці            ; альпаки        ; альпак           ; альпакам         ; альпак           ; альпаками          ; альпаках         ;
мураха          ; мурахи           ; мурасі             ; мураху           ; мурахою          ; мурасі             ; мурахи         ; мурах            ; мурахам          ; мурах            ; мурахами           ; мурахах          ;
мурахоїд        ; мурахоїда        ; мурахоїду          ; мурахоїда        ; мурахоїдом       ; мурахоїду          ; мурахоїди      ; мурахоїдів       ; мурахоїдам       ; мурахоїдів       ; мурахоїдами        ; мурахоїдах       ;
антилопа        ; антилопи         ; антилопі           ; антилопу         ; антилопою        ; антилопі           ; антилопи       ; антилоп          ; антилопам        ; антилоп          ; антилопами         ; антилопах        ;
мавпа           ; мавпи            ; мавпі              ; мавпу            ; мавпою           ; мавпі              ; мавпи          ; мавп             ; мавпам           ; мавп             ; мавпами            ; мавпах           ;
